[2026-06-10 23:25:01] ID: 4103 | Risk: 99.0% | Temp: 103.69°C, Vib: 73.22Hz, Speed: 2229.4 RPM
[2026-06-10 23:29:28] ID: 4368 | Risk: 99.0% | Temp: 104.42°C, Vib: 77.16Hz, Speed: 2701.5 RPM
[2026-06-10 23:29:32] ID: 4372 | Risk: 98.0% | Temp: 92.27°C, Vib: 64.96Hz, Speed: 2293.8 RPM
[2026-06-10 23:29:36] ID: 4375 | Risk: 100.0% | Temp: 101.52°C, Vib: 68.02Hz, Speed: 2672.3 RPM
[2026-06-10 23:30:15] ID: 4410 | Risk: 99.0% | Temp: 101.23°C, Vib: 82.7Hz, Speed: 2567.6 RPM
[2026-06-10 23:30:27] ID: 4423 | Risk: 99.0% | Temp: 107.03°C, Vib: 62.71Hz, Speed: 2791.1 RPM
[2026-06-10 23:30:38] ID: 4435 | Risk: 100.0% | Temp: 95.91°C, Vib: 80.27Hz, Speed: 2782.1 RPM
[2026-06-10 23:30:43] ID: 4439 | Risk: 99.0% | Temp: 104.27°C, Vib: 81.91Hz, Speed: 2690.0 RPM
[2026-06-10 23:30:50] ID: 4446 | Risk: 100.0% | Temp: 97.89°C, Vib: 68.6Hz, Speed: 2372.9 RPM
[2026-06-10 23:31:08] ID: 4463 | Risk: 100.0% | Temp: 104.63°C, Vib: 81.28Hz, Speed: 2496.6 RPM
[2026-06-10 23:31:16] ID: 4472 | Risk: 100.0% | Temp: 96.91°C, Vib: 80.74Hz, Speed: 2247.4 RPM
[2026-06-10 23:31:21] ID: 4477 | Risk: 100.0% | Temp: 102.48°C, Vib: 74.36Hz, Speed: 2261.1 RPM
[2026-06-10 23:31:35] ID: 4491 | Risk: 100.0% | Temp: 101.88°C, Vib: 82.15Hz, Speed: 2520.9 RPM
[2026-06-10 23:32:14] ID: 4529 | Risk: 99.0% | Temp: 105.13°C, Vib: 70.92Hz, Speed: 2385.2 RPM
[2026-06-10 23:32:46] ID: 4560 | Risk: 100.0% | Temp: 103.26°C, Vib: 79.22Hz, Speed: 2750.4 RPM
[2026-06-10 23:33:03] ID: 4578 | Risk: 99.0% | Temp: 96.72°C, Vib: 69.5Hz, Speed: 2329.7 RPM
[2026-06-10 23:33:06] ID: 4580 | Risk: 100.0% | Temp: 94.01°C, Vib: 63.77Hz, Speed: 2592.6 RPM
[2026-06-10 23:33:11] ID: 4585 | Risk: 99.0% | Temp: 100.62°C, Vib: 73.74Hz, Speed: 2245.5 RPM
[2026-06-10 23:33:17] ID: 4592 | Risk: 99.0% | Temp: 96.5°C, Vib: 73.65Hz, Speed: 2313.7 RPM
[2026-06-10 23:33:23] ID: 4597 | Risk: 99.0% | Temp: 95.85°C, Vib: 64.9Hz, Speed: 2575.7 RPM
[2026-06-10 23:33:37] ID: 4611 | Risk: 100.0% | Temp: 93.6°C, Vib: 83.56Hz, Speed: 2303.3 RPM
[2026-06-10 23:33:45] ID: 4619 | Risk: 98.0% | Temp: 94.45°C, Vib: 75.29Hz, Speed: 2339.8 RPM
[2026-06-10 23:33:53] ID: 4627 | Risk: 100.0% | Temp: 97.57°C, Vib: 72.15Hz, Speed: 2600.8 RPM
[2026-06-10 23:34:00] ID: 4633 | Risk: 100.0% | Temp: 98.39°C, Vib: 84.52Hz, Speed: 2420.7 RPM
[2026-06-10 23:34:44] ID: 4677 | Risk: 98.0% | Temp: 107.85°C, Vib: 69.39Hz, Speed: 2449.1 RPM
[2026-06-10 23:34:48] ID: 4681 | Risk: 100.0% | Temp: 99.73°C, Vib: 74.66Hz, Speed: 2215.6 RPM
[2026-06-10 23:34:56] ID: 4689 | Risk: 100.0% | Temp: 99.65°C, Vib: 79.4Hz, Speed: 2723.5 RPM
[2026-06-10 23:35:07] ID: 4700 | Risk: 100.0% | Temp: 92.84°C, Vib: 75.39Hz, Speed: 2544.2 RPM
[2026-06-10 23:35:11] ID: 4704 | Risk: 99.0% | Temp: 95.29°C, Vib: 80.23Hz, Speed: 2255.3 RPM
[2026-06-10 23:35:16] ID: 4709 | Risk: 100.0% | Temp: 100.98°C, Vib: 70.32Hz, Speed: 2413.0 RPM
[2026-06-10 23:35:23] ID: 4715 | Risk: 99.0% | Temp: 106.45°C, Vib: 68.58Hz, Speed: 2349.1 RPM
[2026-06-10 23:35:39] ID: 4732 | Risk: 98.0% | Temp: 98.48°C, Vib: 66.43Hz, Speed: 2420.4 RPM
[2026-06-10 23:35:45] ID: 4738 | Risk: 98.0% | Temp: 95.83°C, Vib: 67.05Hz, Speed: 2325.3 RPM
[2026-06-10 23:36:12] ID: 4763 | Risk: 100.0% | Temp: 103.46°C, Vib: 79.08Hz, Speed: 2242.8 RPM
[2026-06-10 23:36:34] ID: 4786 | Risk: 99.0% | Temp: 96.49°C, Vib: 72.07Hz, Speed: 2450.8 RPM
[2026-06-10 23:36:38] ID: 4790 | Risk: 100.0% | Temp: 102.48°C, Vib: 68.58Hz, Speed: 2201.9 RPM
[2026-06-10 23:36:55] ID: 4805 | Risk: 100.0% | Temp: 105.48°C, Vib: 82.02Hz, Speed: 2679.6 RPM
[2026-06-10 23:37:15] ID: 4826 | Risk: 100.0% | Temp: 105.12°C, Vib: 64.04Hz, Speed: 2231.4 RPM
[2026-06-10 23:37:19] ID: 4831 | Risk: 100.0% | Temp: 95.24°C, Vib: 69.96Hz, Speed: 2530.9 RPM
[2026-06-10 23:37:49] ID: 4860 | Risk: 99.0% | Temp: 107.67°C, Vib: 74.78Hz, Speed: 2791.1 RPM
[2026-06-10 23:38:05] ID: 4875 | Risk: 100.0% | Temp: 95.83°C, Vib: 73.41Hz, Speed: 2582.9 RPM
[2026-06-10 23:38:10] ID: 4881 | Risk: 100.0% | Temp: 103.49°C, Vib: 62.23Hz, Speed: 2706.1 RPM
[2026-06-10 23:38:13] ID: 4884 | Risk: 99.0% | Temp: 103.47°C, Vib: 74.9Hz, Speed: 2361.0 RPM
[2026-06-10 23:38:20] ID: 4891 | Risk: 99.0% | Temp: 100.93°C, Vib: 67.44Hz, Speed: 2242.4 RPM
[2026-06-10 23:38:56] ID: 4926 | Risk: 100.0% | Temp: 96.23°C, Vib: 80.8Hz, Speed: 2548.9 RPM
[2026-06-10 23:39:11] ID: 4941 | Risk: 100.0% | Temp: 97.28°C, Vib: 80.71Hz, Speed: 2364.6 RPM
[2026-06-10 23:39:34] ID: 4963 | Risk: 98.0% | Temp: 95.09°C, Vib: 75.22Hz, Speed: 2288.8 RPM
[2026-06-10 23:39:40] ID: 4969 | Risk: 100.0% | Temp: 97.79°C, Vib: 63.9Hz, Speed: 2514.3 RPM
[2026-06-10 23:39:44] ID: 4974 | Risk: 98.0% | Temp: 98.53°C, Vib: 77.74Hz, Speed: 2595.9 RPM
[2026-06-10 23:39:49] ID: 4979 | Risk: 100.0% | Temp: 99.46°C, Vib: 72.67Hz, Speed: 2762.3 RPM
[2026-06-10 23:40:02] ID: 4991 | Risk: 98.0% | Temp: 104.19°C, Vib: 82.83Hz, Speed: 2559.3 RPM
[2026-06-10 23:40:19] ID: 5008 | Risk: 98.0% | Temp: 92.1°C, Vib: 66.36Hz, Speed: 2688.5 RPM
[2026-06-10 23:40:32] ID: 5020 | Risk: 98.0% | Temp: 107.65°C, Vib: 76.16Hz, Speed: 2793.9 RPM
[2026-06-10 23:40:35] ID: 5024 | Risk: 100.0% | Temp: 102.14°C, Vib: 84.22Hz, Speed: 2605.2 RPM
[2026-06-10 23:40:45] ID: 5034 | Risk: 100.0% | Temp: 101.67°C, Vib: 72.16Hz, Speed: 2520.4 RPM
[2026-06-10 23:40:48] ID: 5037 | Risk: 99.0% | Temp: 104.85°C, Vib: 75.24Hz, Speed: 2768.6 RPM
[2026-06-10 23:41:38] ID: 5086 | Risk: 99.0% | Temp: 98.77°C, Vib: 70.84Hz, Speed: 2271.5 RPM
[2026-06-10 23:41:51] ID: 5099 | Risk: 100.0% | Temp: 101.25°C, Vib: 68.1Hz, Speed: 2305.6 RPM
[2026-06-10 23:41:54] ID: 5102 | Risk: 100.0% | Temp: 101.28°C, Vib: 82.61Hz, Speed: 2525.5 RPM
[2026-06-10 23:42:02] ID: 5110 | Risk: 100.0% | Temp: 98.34°C, Vib: 68.14Hz, Speed: 2772.5 RPM
[2026-06-10 23:42:13] ID: 5120 | Risk: 100.0% | Temp: 101.63°C, Vib: 84.09Hz, Speed: 2238.1 RPM
[2026-06-10 23:42:28] ID: 5135 | Risk: 100.0% | Temp: 101.89°C, Vib: 81.91Hz, Speed: 2561.3 RPM
[2026-06-10 23:42:38] ID: 5145 | Risk: 100.0% | Temp: 99.55°C, Vib: 84.19Hz, Speed: 2681.1 RPM
[2026-06-10 23:42:59] ID: 5166 | Risk: 100.0% | Temp: 92.76°C, Vib: 62.96Hz, Speed: 2735.8 RPM
[2026-06-10 23:43:12] ID: 5178 | Risk: 100.0% | Temp: 94.8°C, Vib: 62.77Hz, Speed: 2746.1 RPM
[2026-06-10 23:43:19] ID: 5186 | Risk: 100.0% | Temp: 107.95°C, Vib: 71.47Hz, Speed: 2477.0 RPM
[2026-06-10 23:43:28] ID: 5194 | Risk: 99.0% | Temp: 98.06°C, Vib: 66.86Hz, Speed: 2643.3 RPM
[2026-06-10 23:44:17] ID: 5243 | Risk: 99.0% | Temp: 105.51°C, Vib: 76.26Hz, Speed: 2460.3 RPM
[2026-06-10 23:44:22] ID: 5248 | Risk: 98.0% | Temp: 97.29°C, Vib: 70.78Hz, Speed: 2279.3 RPM
